year,State,Vehicles Weighed (Fixed platform Scale),Vehicles Weighed (WIM Scale),Vehicles Weighed (Portable Scale),Vehicles Weighed (Semi-portable Scale),oversize_violation_current_year,overweight_violation_current_year,non_divisible_trip_permits,non_divisible_annual_permits,divisible_trip_permits,divisible_annual_permits
2021,NE,318301,4446815,7425,0,159,436,100187,2296,0,17722
2021,NH,787,104514,715,2004,79,901,28403,1417,0,18034
2021,NJ,164418,1644180,2525,143,40,2029,56542,2386,4,0
2021,NM,2456157,715426,25687,878,75,38,95348,16257,253489,0
2021,NV,4,12605,247,1,94,129,13189,2254,9,365
2021,NY,269753,6615,56437,29178,1090,13431,201496,5326,88,27262
2021,OH,1509244,494967,2383,0,233,4717,230455,6939,52633,1050
2021,OK,2340123,4180084,3290,104,826,20253,65069,2708,3300,1744
2021,OR,1410048,1940800,2975,0,710,10016,109501,76228,0,181476
2021,PA,11859,268161,1179,0,444,890,291964,1771,0,2185
2021,PR,119049,141502,13192,12510,,,286,,,909
2021,RI,3,472,2565,0,24,321,9468,200,0,7106
2021,SC,131639,1638817,2621,0,1237,3200,68960,14034,0,0
2021,SD,517241,930266,472,0,119,1695,84372,7921,468,10360
2021,TN,1198284,5746400,267,0,964,5824,119343,7448,0,0
2021,TX,46099,360966,7932,761,966,16666,264572,38434,87641,58257
2021,UT,7576668,8484967,1255,0,58,4181,33939,5533,6374,14347
2021,VA,4732305,16000812,10159,0,167,27401,59633,14205,0,0
2021,VT,6706,0,305,0,19,296,12860,2280,0,9014
2021,WA,1525212,8421679,1526,0,1980,6194,87429,4398,0,2934
2021,WI,329926,2566254,1361,0,696,4613,24238,5527,0,4025
2021,WV,191697,112558,571,0,28,348,100346,2984,,
2021,WY,417654,2583680,243,,498,3415,37075,781,687,1652
2020,AK,93492,1448269,268,0,53,592,5713,622,0,0
2020,AL,101358,1010435,81317,0,645,201,127404,10177,0,0
2020,AR,30558,3569908,3497,5894,1324,4733,156808,36,0,359
2020,AZ,1794934,10040282,71,4001,36,771,43354,1551,13,726
2020,CA,23833807,82987689,1669,410,9867,17793,148171,18278,0,103
2020,CO,1099195,1252180,7764,11062,1065,2230,19531,1914,75,12764
2020,CT,171716,301083,630,0,0,3747,86888,0,0,2120
